# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
5.317855181255572994e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.993109242658739393e-04 8.914025357459270937e-02 3.080355071555126445e-01 3.573138239020188789e-01 3.627403299616385191e-01 3.632841088458672596e-01 3.633392634984885516e-01 3.633447895219376056e-01 3.633453495080818940e-01
5.892911352907692635e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.874639339202822995e-04 7.460811512360597531e-02 3.379188678695169701e-01 4.073574765935461528e-01 4.152210858281796257e-01 4.160083752748854891e-01 4.160879513575027611e-01 4.160959241781318485e-01 4.160967215700074884e-01
6.530152294412288061e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.231686597136237428e-05 5.882999225196602205e-02 3.628362381627392996e-01 4.590083630941631521e-01 4.701778341174734366e-01 4.713110152174172507e-01 4.714253037207811192e-01 4.714366722116999364e-01 4.714378092017928457e-01
7.236302471642841461e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.621568282476447710e-07 4.367300936277436485e-02 3.809170528819295631e-01 5.110277392688221676e-01 5.266484398674947665e-01 5.282412478870752714e-01 5.284056270016381784e-01 5.284215920732174832e-01 5.284231889469030996e-01
8.018813513110725211e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.062745337075023500e-02 3.899665997897945879e-01 5.620961127937866841e-01 5.836112983354333483e-01 5.858112587038974972e-01 5.860318836782067997e-01 5.860534587304652154e-01 5.860556816996728147e-01
8.885942843051027884e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.052051328918656770e-02 3.882006311858512415e-01 6.107912514633204726e-01 6.400065035813877756e-01 6.430079278485323346e-01 6.433068132684507390e-01 6.433396233030510558e-01 6.433426415890490802e-01
9.846840817643484067e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.337195083229688643e-02 3.745554621498745629e-01 6.556753458600870221e-01 6.947892784570761648e-01 6.988359538290491724e-01 6.992438205240699700e-01 6.992844159693190065e-01 6.992884874118678873e-01
1.091164728387089111e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.583006549913769698e-03 3.490830378692408864e-01 6.952513026394918638e-01 7.469283426800680248e-01 7.523090682153391606e-01 7.528490032776906649e-01 7.529033823907028689e-01 7.529087845949729019e-01
1.209159857994953624e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.356522093049918311e-03 3.127574230556438017e-01 7.281145018069197228e-01 7.955167085600590715e-01 8.026099215748074833e-01 8.033197560739255838e-01 8.033919267651673524e-01 8.034023924341073819e-01
1.339914610645029036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.113181851433508788e-03 2.684820473945975228e-01 7.528591659100112299e-01 8.398225217151784605e-01 8.491256657951088416e-01 8.500603843404840321e-01 8.501543451687584296e-01 8.501636736650123316e-01
