# E_gamma_TeV tau_xi_-1e+11 tau_xi_-1e+10 tau_xi_-1e+09 tau_xi_-1e+08 tau_xi_-1e+07 tau_xi_0e+00 tau_xi_1e+07 tau_xi_1e+08 tau_xi_1e+09 tau_xi_1e+10 tau_xi_1e+11
3.835644811755342665e-02 9.096685956260328759e-06 9.123035521981136199e-06 9.123297653592160123e-06 9.123300268672118190e-06 9.123300294778679899e-06 9.123300295048392131e-06 9.123300295318080645e-06 9.123300321713263749e-06 9.123302944433448836e-06 9.123561839445663361e-06 9.150182231019647454e-06
4.190079105786669034e-02 3.358460602986279711e-05 3.369264803378691224e-05 3.369375166624825077e-05 3.369376273544278906e-05 3.369376284858360224e-05 3.369376284972221104e-05 3.369376285082922889e-05 3.369376296158938482e-05 3.369377404312091055e-05 3.369487826262701193e-05 3.380306173652150895e-05
4.577265042618829799e-02 1.112411216435918747e-04 1.116691099938577628e-04 1.116741252034826880e-04 1.116741729805329213e-04 1.116741734652357482e-04 1.116741734702321719e-04 1.116741734751958257e-04 1.116741739613281732e-04 1.116742223781506314e-04 1.116791528942678022e-04 1.121194228003385919e-04
5.000229050913546774e-02 2.865163297624567134e-04 2.877050967465520376e-04 2.877170835351517742e-04 2.877172035755682917e-04 2.877172047620347442e-04 2.877172047745516956e-04 2.877172047868128838e-04 2.877172059587447929e-04 2.877173262451001592e-04 2.877293637002552654e-04 2.889052728987607176e-04
5.462277217684340103e-02 5.910389118313250740e-04 5.936849313315361188e-04 5.937116155088257869e-04 5.937118817832964671e-04 5.937118844464074098e-04 5.937118844744454201e-04 5.937118845024918871e-04 5.937118871749244749e-04 5.937121539865129229e-04 5.937416133357999604e-04 5.964192466812995698e-04
5.967021130238470833e-02 1.052454176983603964e-03 1.057865067433140949e-03 1.057922335077209454e-03 1.057922881098210654e-03 1.057922886450144177e-03 1.057922886502131237e-03 1.057922886559831610e-03 1.057922892039245191e-03 1.057923439150477377e-03 1.057995067578757636e-03 1.063420322412391089e-03
6.518406106053843685e-02 1.697557107990246015e-03 1.707966561138602162e-03 1.708071506387998833e-03 1.708072557755534616e-03 1.708072568127550362e-03 1.708072568236362844e-03 1.708072568341087016e-03 1.708072578851530660e-03 1.708073623258206169e-03 1.708177799997435660e-03 1.718586540361578862e-03
7.120742031249006898e-02 2.554270996739165574e-03 2.573431266220838499e-03 2.573620766866336479e-03 2.573622654796113834e-03 2.573622674023449269e-03 2.573622674223234336e-03 2.573622674417507319e-03 2.573622693470800117e-03 2.573624577089727618e-03 2.573808117896916967e-03 2.593146999760365806e-03
7.778737048694307765e-02 3.653526197503554132e-03 3.688145934310836909e-03 3.688456392421642603e-03 3.688459865429547738e-03 3.688459900216065589e-03 3.688459900570105303e-03 3.688459900933868576e-03 3.688459935538914835e-03 3.688463410117953385e-03 3.688802928771013796e-03 3.723708629905106426e-03
8.497534359086438005e-02 5.031444533727229447e-03 5.092672820458892143e-03 5.093300873885618640e-03 5.093307121141351333e-03 5.093307192397277840e-03 5.093307193003300017e-03 5.093307193685048077e-03 5.093307256053929838e-03 5.093313503865691712e-03 5.093903132169076350e-03 5.155906540654026787e-03
9.282752422641028789e-02 6.734987211420189954e-03 6.843136460682945447e-03 6.844229017382315490e-03 6.844226125208617909e-03 6.844226240395330507e-03 6.844226241497585947e-03 6.844226242732972740e-03 6.844226358183216723e-03 6.844237767915608249e-03 6.845329469121331882e-03 6.954867130840662083e-03
