# E_gamma_TeV tau_xi_-1e+11 tau_xi_-1e+10 tau_xi_-1e+09 tau_xi_-1e+08 tau_xi_-1e+07 tau_xi_0e+00 tau_xi_1e+07 tau_xi_1e+08 tau_xi_1e+09 tau_xi_1e+10 tau_xi_1e+11
1.014052887563868521e-01 8.831224728891817061e-03 9.022875576463477293e-03 9.024860164905728829e-03 9.024879681537915921e-03 9.024879877250610236e-03 9.024879879323939591e-03 9.024879881278279059e-03 9.024880076508739329e-03 9.024918359372708504e-03 9.026864606297075808e-03 9.223284837186630780e-03
1.107756850509708652e-01 1.140667505268667253e-02 1.174787009464099349e-02 1.175135041695054422e-02 1.175138490334305501e-02 1.175138524730792028e-02 1.175138525091708880e-02 1.175138525458559180e-02 1.175138559839859070e-02 1.175142006046729116e-02 1.175487695325073099e-02 1.210776571330328052e-02
1.210119565656185558e-01 1.456077024181929094e-02 1.516565658119854026e-02 1.517182657859095750e-02 1.517188796891455471e-02 1.517188858412328589e-02 1.517188859035506834e-02 1.517188859628281102e-02 1.517188921059904085e-02 1.517194291909886895e-02 1.517823552354267795e-02 1.581630480882556186e-02
1.321941148466028726e-01 1.837692338486394961e-02 1.944162607680566604e-02 1.945278182996226443e-02 1.945289118395971198e-02 1.945289229446249893e-02 1.945289230545573303e-02 1.945289231606967678e-02 1.945289340978640855e-02 1.945300283930603141e-02 1.946372505640617603e-02 2.060907292933562146e-02
1.444095649391544389e-01 2.289464138653986985e-02 2.474244164993794418e-02 2.476103182173267081e-02 2.476122510556968970e-02 2.476122702478522272e-02 2.476122704436304126e-02 2.476122706351352801e-02 2.476122899001547209e-02 2.476142358183477249e-02 2.478231757672129040e-02 2.682812120508023049e-02
1.577537885866919509e-01 2.809286705013474411e-02 3.125801768462482810e-02 3.129215458406911510e-02 3.129249110961714042e-02 3.129249566705299274e-02 3.129249570184815255e-02 3.129249573540073687e-02 3.129249909582593886e-02 3.129283627092150494e-02 3.132648436550993648e-02 3.496535254541758425e-02
1.723310905613508193e-01 3.385768246636921414e-02 3.918741624372970578e-02 3.924586010933810848e-02 3.924644886660910020e-02 3.924645470730247360e-02 3.924645476664478938e-02 3.924645482292003773e-02 3.924646066626130692e-02 3.924700840389830359e-02 3.930603106926191387e-02 4.577004586648383139e-02
1.882554139594831699e-01 3.991802942139552335e-02 4.876311781669881440e-02 4.886279747596647405e-02 4.886380629383326596e-02 4.886381634096519794e-02 4.886381644415482839e-02 4.886381654738296970e-02 4.886382657790451500e-02 4.886483585903021037e-02 4.896616580948762870e-02 6.051380778357801776e-02
2.056512308348650286e-01 4.585046429738186269e-02 6.023622972689606642e-02 6.040807075753456407e-02 6.040987966999555869e-02 6.040989675113183494e-02 6.040989692346879214e-02 6.040989709924035611e-02 6.040991416419324439e-02 6.041160526026506661e-02 6.058311331614293915e-02 8.140105358968498239e-02
2.246545151312207833e-01 5.099931208819421385e-02 7.388097537480307897e-02 7.417662220625216574e-02 7.417741951251013988e-02 7.417744898717285040e-02 7.417744927669125965e-02 7.417744957118362070e-02 7.417747896354426329e-02 7.418036063073263353e-02 7.447702038626088927e-02 1.123794028305166587e-01
2.454138055189677425e-01 5.453596193276573356e-02 8.992311048446523236e-02 9.040327744276108191e-02 9.040796529806220672e-02 9.040801372215756526e-02 9.040801420053251602e-02 9.040801469386654243e-02 9.040806320376108818e-02 9.041290897210803312e-02 9.089741818782388905e-02 1.612156468748946192e-01
2.680913664438150934e-01 5.558401062729608627e-02 1.085291708933465576e-01 1.093226292929660726e-01 1.093306256705335183e-01 1.093307056520520376e-01 1.093307064630627823e-01 1.093307072690270498e-01 1.093307870874124371e-01 1.093387554497323444e-01 1.101407821561948275e-01 2.448958773442717340e-01
2.928644564625235702e-01 5.347152107636042595e-02 1.298216015288224112e-01 1.311183960548385208e-01 1.311313587423799942e-01 1.311314892083141614e-01 1.311314905372496509e-01 1.311314918642479399e-01 1.311316219814307460e-01 1.311447011730487999e-01 1.324526849808856377e-01 4.033103984972947753e-01
3.199267137797383032e-01 4.805109679609758516e-02 1.538326824651343183e-01 1.559136116840884878e-01 1.559347909787569819e-01 1.559350015119670141e-01 1.559350036339268164e-01 1.559350057855463101e-01 1.559352162086992954e-01 1.559562435284325144e-01 1.580710040048823872e-01 7.509205768305470263e-01
3.494896698159075110e-01 3.992356745804850893e-02 1.804915252086741750e-01 1.837984375831578088e-01 1.838343876048381120e-01 1.838347225162042242e-01 1.838347258964373454e-01 1.838347292694882396e-01 1.838350641262152529e-01 1.838670478599755964e-01 1.872535748257643518e-01 1.520355359827896269e+00
3.817844026370506016e-01 3.037561073187489483e-02 2.095989862662487602e-01 2.147878875240130381e-01 2.148408474939536572e-01 2.148413763992944314e-01 2.148413817457907049e-01 2.148413871348583137e-01 2.148419160031664332e-01 2.148947795903734248e-01 2.202400406639339892e-01 0.000000000000000000e+00
4.170633431703653082e-01 2.100877665563419608e-02 2.407312201087246084e-01 2.487562468890447132e-01 2.488389104694570808e-01 2.488397285836425887e-01 2.488397369403352599e-01 2.488397451475118372e-01 2.488409417388437184e-01 2.489224018007758776e-01 2.572681213740666273e-01 0.000000000000000000e+00
4.556022483239121068e-01 1.321557579554607023e-02 2.731736544653459164e-01 2.854062919069191295e-01 2.855298162190012534e-01 2.855310720187912432e-01 2.855310847089901904e-01 2.855310974623718745e-01 2.855323533969933991e-01 2.856614620483108324e-01 2.985433315828390777e-01 0.000000000000000000e+00
4.977023564332108685e-01 7.615316624481709845e-03 3.061223033999191934e-01 3.244965608347605279e-01 3.246862895504798452e-01 3.246882007564099171e-01 3.246882201079678842e-01 3.246882394608905931e-01 3.246901507721880464e-01 3.248818708169504688e-01 3.445289822707034988e-01 0.000000000000000000e+00
5.436927418827446346e-01 3.866691844266461221e-03 3.383840241897545509e-01 3.656033232758987839e-01 3.658949166905991479e-01 3.658976935914757811e-01 3.658977219887435406e-01 3.658977495691915771e-01 3.659005287806602613e-01 3.661773990214561847e-01 3.960301270415370056e-01 0.000000000000000000e+00
5.939328873072053927e-01 1.504714933974202976e-03 3.685284913213654479e-01 4.083413310043040312e-01 4.087638165072866037e-01 4.087682441565393954e-01 4.087682789411177242e-01 4.087683218590459355e-01 4.087856907475947432e-01 4.092118834297330809e-01 4.543390000737301260e-01 0.000000000000000000e+00
6.488154934780251404e-01 2.729781217198411301e-04 3.948206589872136352e-01 4.524150645991252828e-01 4.530291553358492540e-01 4.530353913271932820e-01 4.530354597432102448e-01 4.530355266354505472e-01 4.530417619926498940e-01 4.536793752735491236e-01 5.215279401515953150e-01 0.000000000000000000e+00
7.087695488385971077e-01 4.003147754476294311e-06 4.152988010958780229e-01 4.972250770152418786e-01 4.981455044788811182e-01 4.981547065652046080e-01 4.981547975606201994e-01 4.981548906856180792e-01 4.981638887244964065e-01 4.990651539035733664e-01 6.006974140422142172e-01 0.000000000000000000e+00
7.742636826811265527e-01 0.000000000000000000e+00 4.275885913741788169e-01 5.422444573674268797e-01 5.435591670810535625e-01 5.435723921401564018e-01 5.435725273480510600e-01 5.435726624589690692e-01 5.435858033690175173e-01 5.449015457175429011e-01 6.967172450737401102e-01 0.000000000000000000e+00
8.458098281751332825e-01 0.000000000000000000e+00 4.292709953511946730e-01 5.868367366821046760e-01 5.887234986259906044e-01 5.887425288995692396e-01 5.887427288571173145e-01 5.887429073155634462e-01 5.887622588382526168e-01 5.906516069400119529e-01 8.183756615816341062e-01 0.000000000000000000e+00
9.239672238795645365e-01 0.000000000000000000e+00 4.184796318364124024e-01 6.304162082389647148e-01 6.330753983641852489e-01 6.331034198679936775e-01 6.331036894844910279e-01 6.331039588190550127e-01 6.331305027767899496e-01 6.358026676064849614e-01 9.880679848475043547e-01 0.000000000000000000e+00
1.009346785016240089e+00 0.000000000000000000e+00 3.934895601204784210e-01 6.723084461945062484e-01 6.760403710396506449e-01 6.760783428034505826e-01 6.760787203646142496e-01 6.760790972600300153e-01 6.761198249674068572e-01 6.798860701494401360e-01 1.397108125176689919e+00 0.000000000000000000e+00
1.102615878672568606e+00 0.000000000000000000e+00 3.546730436872346237e-01 7.119572778025350379e-01 7.171494171343376633e-01 7.172013359013966749e-01 7.172018648365171556e-01 7.172023928977157015e-01 7.172559559062091639e-01 7.224981200625626432e-01 7.558579916722298897e+00 0.000000000000000000e+00
1.204503540258781813e+00 0.000000000000000000e+00 3.033863888706028744e-01 7.488773277670369710e-01 7.561108424724596322e-01 7.561834038041875816e-01 7.561841392357107061e-01 7.561848745003869610e-01 7.562567176097296784e-01 7.635666663316101888e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.315806171993986640e+00 0.000000000000000000e+00 2.437325456844081362e-01 7.826480324353067841e-01 7.926342512326828293e-01 7.927350643241558581e-01 7.927360868925452664e-01 7.927371112790969621e-01 7.928388678745249551e-01 8.030002140928480525e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.437393767963104363e+00 0.000000000000000000e+00 1.817600971389314590e-01 8.128522614627663456e-01 8.266454662362611172e-01 8.267798571819269249e-01 8.267812716834710418e-01 8.267826893722707293e-01 8.269364941769953292e-01 8.410810989817288919e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.570216714402683733e+00 0.000000000000000000e+00 1.247645001521956176e-01 8.391045668101972943e-01 8.581565164078088781e-01 8.583474602826388633e-01 8.583494797814135158e-01 8.583514493608405127e-01 8.585363027583848838e-01 8.782636051106077479e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.715313218369851178e+00 0.000000000000000000e+00 7.823561028233073922e-02 8.608683148681721686e-01 8.871251142663234557e-01 8.873908302373900714e-01 8.873921413781511447e-01 8.873916269402422063e-01 8.876710232072686502e-01 9.153783168742615217e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.873817422860383886e+00 0.000000000000000000e+00 4.480791963447402354e-02 8.775404365646478633e-01 9.137629002719757088e-01 9.141406432160599227e-01 9.141444179815186866e-01 9.141480404593681497e-01 9.145287221389249988e-01 9.541384175425582370e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.046968271807521056e+00 0.000000000000000000e+00 2.357961671130245213e-02 8.883201482383316083e-01 9.384844424832687881e-01 9.390162982836368633e-01 9.390222918694716148e-01 9.390281212045316073e-01 9.395689077354791863e-01 9.981153801692050909e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.236119194254531539e+00 0.000000000000000000e+00 1.135799938430566945e-02 8.922270536922182194e-01 9.619623193543069828e-01 9.627562257838978566e-01 9.627640935668354549e-01 9.627719615366877592e-01 9.635421341422260033e-01 1.054810859770742848e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.442748683397140130e+00 0.000000000000000000e+00 5.188404362042038469e-03 8.880345198457106903e-01 9.851553713008188717e-01 9.862974428703488172e-01 9.863092071140572292e-01 9.863197185317665872e-01 9.874851699661895132e-01 1.140345648283911162e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.668471853186575427e+00 0.000000000000000000e+00 2.193507013364654791e-03 8.742667190771232777e-01 1.009071676436264164e+00 1.010824594514299291e+00 1.010840766796377244e+00 1.010858555203320686e+00 1.012619434340270796e+00 1.296217933234947717e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.915053062825174290e+00 0.000000000000000000e+00 6.823001436220262148e-04 8.496411929335184743e-01 1.034767661895659829e+00 1.037482159774145707e+00 1.037509734983460552e+00 1.037537165362011571e+00 1.040274046567216226e+00 1.653413800010715917e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.184419707833543889e+00 0.000000000000000000e+00 5.887269894446777482e-05 8.133198636895401235e-01 1.063246542161710773e+00 1.067495764652602430e+00 1.067538931015650450e+00 1.067582059901148295e+00 1.071885202626938316e+00 3.376235410982212581e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.478677285486804660e+00 0.000000000000000000e+00 2.201099631881288781e-08 7.650329800510490275e-01 1.095426528507973174e+00 1.102142116482426326e+00 1.102209885851791915e+00 1.102279333785325166e+00 1.109151289136942609e+00 3.833288560463735450e+01 0.000000000000000000e+00 0.000000000000000000e+00
3.800125852378501090e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.050620782096144179e-01 1.132088585142080106e+00 1.142803635666173490e+00 1.142915073623274269e+00 1.143025336741612552e+00 1.154195827512726202e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.151278002752293084e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.344032222201116955e-01 1.173850419513219334e+00 1.190958026633320177e+00 1.191135549665433446e+00 1.191311141968685483e+00 1.209278675288333549e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.534878508128580066e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.543717268063630410e-01 1.220773094965760919e+00 1.248084095767624913e+00 1.248370058770303270e+00 1.248657005404362197e+00 1.277906047971646197e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.953925771738688866e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.663905221636296949e-01 1.271898826917492675e+00 1.314901931816968128e+00 1.315356985328874684e+00 1.315810146499560851e+00 1.362982862821296548e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.411695265464635085e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.734758503714880051e-01 1.324933177254253636e+00 1.391783648706653942e+00 1.392482401635341427e+00 1.393207332939937926e+00 1.469123941958886626e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.911765132478685736e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.819032212230679346e-01 1.376544616399205001e+00 1.479162069436264382e+00 1.480290949217851759e+00 1.481428997514627532e+00 1.604343757058591668e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.458044155705079170e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.989860777323108898e-01 1.422047925162253978e+00 1.577862717146094163e+00 1.579566648964188191e+00 1.581427363047933632e+00 1.784226179963202430e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.054802310718641500e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.290908257632791267e-01 1.455240970867208494e+00 1.689179131806948897e+00 1.691967698658242591e+00 1.694784373198401362e+00 2.043410127216509498e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.706704141896231874e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.618218511798222070e-02 1.468796944785464076e+00 1.815480068207099507e+00 1.819926242459352306e+00 1.824422837808985509e+00 2.470783013469512568e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.418845222704815612e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.088580718239999412e-02 1.454874909192032106e+00 1.959940425665940511e+00 1.967170674519003404e+00 1.974483138409126592e+00 3.359897986731817277e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.196791985117059198e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.009677153144988695e-02 1.406782936961742836e+00 2.127076811651801069e+00 2.138972239512078932e+00 2.151035954890140545e+00 6.042558209841472738e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.004662522947998937e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.155746190102011586e-03 1.321400142490020579e+00 2.323308692306797596e+00 2.343199241253234089e+00 2.363506822547123409e+00 2.169726222665945059e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.097498765493055117e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.863463906757236711e-03 1.200971214163069289e+00 2.556614485892594768e+00 2.590487563320515552e+00 2.625407771735385865e+00 1.914893137761604862e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.198913578187811702e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.604668675117000998e-03 1.054226923723863285e+00 2.836211607236182708e+00 2.894337853947314798e+00 2.955315973513198191e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.309699667240489340e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.839132495500436388e-04 8.966410392194409384e-01 3.171112507774124012e+00 3.271599116769595472e+00 3.379054041560070054e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.430722989193756511e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.164915589044663479e-04 7.472148893854195784e-01 3.567879889092675061e+00 3.741212449182745203e+00 3.931887238615578539e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.562929519651202703e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.452467441358693271e-06 6.181990238204657651e-01 4.027464659204159858e+00 4.324349049362482766e+00 4.664752094185393716e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.707352647470689533e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.143116042174401548e-01 4.542647308980042986e+00 5.048205122904528608e+00 5.663372316549990515e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.865121252221099724e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.325242769128572196e-01 5.094267381727114241e+00 5.946832249260197045e+00 7.077959738438716286e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.037468528039707039e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.622980115710871529e-01 5.643050054184930886e+00 7.063380174151474122e+00 9.186687764242668308e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.225741622861621849e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.970429105021549221e-01 6.126911369358114534e+00 8.449028821541144652e+00 1.251181006335149704e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.431412168366088267e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.349549907203068166e-01 6.461039948399564636e+00 1.016003665383362176e+01 1.801416202670523248e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.656087782946685394e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.755461328280810418e-01 6.550836141138671742e+00 1.224488408002429018e+01 2.765931540003979805e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.901524637618094005e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.225173296994686856e-01 6.323142889443840176e+00 1.473393251794070480e+01 4.569500479540742788e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.169641183080506863e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.945157243097514255e-02 5.762024755855247982e+00 1.764719205855671547e+01 1.932961664576801297e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.462533145238919019e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.676405275566305336e-02 4.932507602406390745e+00 2.099422221368682528e+01 6.295784606420285172e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.782489906389380252e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.495783723598197709e-02 3.966451843661211729e+00 2.476877962337044892e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.132012400115332440e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.208619096707877656e-02 3.016410158371303663e+00 2.894348028291482677e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.513832659768972633e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.429080388428889938e-03 2.209658994719167158e+00 3.347043545452404345e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.930935173337897481e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.251171649674430734e-03 1.599737685787916641e+00 3.829242971624882586e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.386580211616726643e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.992775182565835657e-04 1.158392105166221375e+00 4.334877860696957441e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.884329312027764303e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.484752899702529415e-04 8.330586551740489787e-01 4.858139598321560015e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
