# E_gamma_TeV tau_xi_-1e+06 tau_xi_-1e+05 tau_xi_-1e+04 tau_xi_-1e+03 tau_xi_-1e+02 tau_xi_-1e+01 tau_xi_0e+00 tau_xi_1e+01 tau_xi_1e+02 tau_xi_1e+03 tau_xi_1e+04 tau_xi_1e+05 tau_xi_1e+06
5.967021130238470833e-02 9.541166776689959756e-04 1.047196600032982089e-03 1.056842460480138073e-03 1.057823553580701731e-03 1.057911962854453207e-03 1.057921799272341316e-03 1.057922886502131237e-03 1.057923969124994991e-03 1.057933861805806022e-03 1.058045347364587911e-03 1.059005254484299535e-03 1.068762095643234662e-03 1.170352989804860624e-03
6.518406106053843685e-02 1.526622489831182174e-03 1.689165793465780560e-03 1.706194970726751872e-03 1.707885267931202097e-03 1.708053533851700652e-03 1.708070658789899486e-03 1.708072568236362844e-03 1.708074469645787285e-03 1.708091566967940168e-03 1.708270504783985892e-03 1.709972593614347489e-03 1.727140287614531422e-03 1.906899881025956927e-03
7.120742031249006898e-02 2.269332064928829881e-03 2.541650843708925973e-03 2.570411726391396562e-03 2.573298887434215428e-03 2.573591262236989141e-03 2.573619526946300477e-03 2.573622674223234336e-03 2.573625808524120876e-03 2.573653990678982824e-03 2.573920475587692432e-03 2.576860374229308828e-03 2.605938121053644890e-03 2.912968098904135036e-03
7.778737048694307765e-02 3.192200441766820246e-03 3.635797240666119052e-03 3.683193053450124939e-03 3.687966242587826116e-03 3.688406832783900843e-03 3.688454595231061353e-03 3.688459900570105303e-03 3.688465209835338054e-03 3.688512986234940630e-03 3.688981883012814374e-03 3.693732014087755186e-03 3.741773388195159065e-03 4.255698207195833006e-03
8.497534359086438005e-02 4.300001269551543756e-03 5.007805227718833095e-03 5.084795793075244826e-03 5.092433849355718946e-03 5.093219442841537270e-03 5.093298452920906084e-03 5.093307193003300017e-03 5.093315921049786088e-03 5.093393002650249690e-03 5.094157925557589103e-03 5.101932387063523588e-03 5.180154162731173337e-03 6.033702982453918728e-03
9.282752422641028789e-02 5.589570079963437216e-03 6.706121656096537993e-03 6.830260214014238947e-03 6.842840729113686300e-03 6.844100149978426043e-03 6.844226070263994405e-03 6.844226241497585947e-03 6.844240863838393744e-03 6.844366616796514202e-03 6.845616124062340810e-03 6.858146118729727299e-03 6.985400242416319773e-03 8.414159056489020974e-03
1.014052887563868521e-01 7.049960770793516768e-03 8.800859477342373380e-03 9.001951410399536627e-03 9.022311367367389853e-03 9.024647829567232840e-03 9.024857024834787717e-03 9.024879879323939591e-03 9.024921505458052134e-03 9.025094683981197199e-03 9.027020368484735963e-03 9.047640152158635540e-03 9.255497322093015136e-03 1.168833384634242537e-02
1.107756850509708652e-01 8.655239792454014203e-03 1.138607993085017679e-02 1.171369217194211457e-02 1.174741433230123283e-02 1.175101052649104617e-02 1.175134826852869234e-02 1.175138525091708880e-02 1.175142220404019194e-02 1.175175539884275137e-02 1.175512452018687842e-02 1.178804813439754060e-02 1.213044274612448854e-02 1.635028619934962221e-02
1.210119565656185558e-01 1.035312385789540629e-02 1.457761211197070375e-02 1.511126770636057708e-02 1.516585984263803429e-02 1.517128523550373767e-02 1.517182832148437563e-02 1.517188859035506834e-02 1.517194118875597741e-02 1.517248069226561323e-02 1.517807382769412877e-02 1.523342918936452205e-02 1.579776322430804028e-02 2.319828922641111249e-02
1.321941148466028726e-01 1.205560325458407411e-02 1.849152379837788393e-02 1.935393742417341328e-02 1.944288148145153702e-02 1.945191197938997765e-02 1.945279399179824023e-02 1.945289230545573303e-02 1.945299063231350697e-02 1.945366524157664256e-02 1.946252712653638584e-02 1.955237199976881876e-02 2.047735371616250105e-02 3.359436006870680780e-02
1.444095649391544389e-01 1.363227151273951367e-02 2.322699221763416602e-02 2.460467608376267282e-02 2.474605443593029530e-02 2.475963620867640408e-02 2.476106807817023830e-02 2.476122704436304126e-02 2.476138607477413808e-02 2.476281498847733575e-02 2.477847810723854058e-02 2.492181313560502126e-02 2.642926239171264693e-02 5.012999908294814982e-02
1.577537885866919509e-01 1.491754856497767324e-02 2.886580519921999599e-02 3.103803715123122642e-02 3.126676279791091445e-02 3.128992757726711121e-02 3.129224097381706066e-02 3.129249570184815255e-02 3.129274987505867994e-02 3.129504528109418315e-02 3.131776969780875053e-02 3.154947660741418136e-02 3.398283345856347587e-02 7.829806781470759203e-02
1.723310905613508193e-01 1.573342540197071940e-02 3.546134704124526832e-02 3.884561924738911404e-02 3.920614562643094658e-02 3.924244118511958229e-02 3.924604735741618611e-02 3.924645476664478938e-02 3.924685755069487469e-02 3.925045929403461753e-02 3.928685874456453592e-02 3.965313819558304032e-02 4.355985998687550431e-02 1.303125370399590421e-01
1.882554139594831699e-01 1.592554308069598842e-02 4.300939239438553857e-02 4.823522784703281052e-02 4.880048905273900312e-02 4.885745285082648132e-02 4.886317754229865806e-02 4.886381644415482839e-02 4.886444513601561485e-02 4.887026303781685788e-02 4.892807314564345811e-02 4.950370143920682087e-02 5.576496282159375262e-02 2.361777968839127440e-01
2.056512308348650286e-01 1.541117927991042524e-02 5.146309646623559858e-02 5.943039848791888818e-02 6.031163022556424586e-02 6.039998707191306104e-02 6.040880947378233362e-02 6.040989692346879214e-02 6.041088322631978091e-02 6.041984663712914039e-02 6.050905065194601279e-02 6.140963879609262488e-02 7.143387633654464663e-02 4.777351752492621784e-01
2.246545151312207833e-01 1.420808426398033515e-02 6.066581018751669718e-02 7.265970659191298142e-02 7.401792653997359139e-02 7.416192758799665385e-02 7.417778984506284701e-02 7.417744927669125965e-02 7.417896086901100416e-02 7.419262837380526110e-02 7.433602740769020001e-02 7.572328772764810867e-02 9.170135017113448250e-02 1.604487455627180426e+00
2.454138055189677425e-01 1.244962653562385266e-02 7.034283860971385360e-02 8.810732945923160919e-02 9.017281517587794060e-02 9.038468958708209544e-02 9.040582427385281117e-02 9.040801420053251602e-02 9.041036143763134247e-02 9.043146127872686568e-02 9.064402857075819220e-02 9.278827567438237278e-02 1.181303861208582856e-01 0.000000000000000000e+00
2.680913664438150934e-01 1.035047971812397619e-02 8.005469319614412493e-02 1.058621876546146229e-01 1.089793045688845496e-01 1.092953643925121815e-01 1.093271622949434224e-01 1.093307064630627823e-01 1.093342485897132316e-01 1.093661738063473748e-01 1.096856780649887592e-01 1.129443220630492878e-01 1.530461881814399183e-01 0.000000000000000000e+00
2.928644564625235702e-01 8.145117215789660775e-03 8.920226036523405677e-02 1.259720612720620914e-01 1.306030803865498857e-01 1.310786520039851077e-01 1.311263057243532426e-01 1.311314905372496509e-01 1.311366566063894568e-01 1.311841648400988714e-01 1.316606365760047692e-01 1.365442793547143596e-01 1.999665863179458936e-01 0.000000000000000000e+00
