# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
1.209159857994953624e+00 3.017205691304281006e+11 2.253097431217864990e+10 1.508122656028584242e+09 8.044560705567832291e+07 7.549385196644584648e+05 9.602396282184608722e-01 8.174882813315704766e-01 8.047955807386344418e-01 8.035445528280046323e-01 8.034171661267437425e-01 8.034045931317724820e-01
1.339914610645029036e+00 3.457276064233934937e+11 2.609361417525506592e+10 1.779277353349828959e+09 9.945229408934293687e+07 1.827157909484239062e+06 1.071733814699398657e+00 8.692000531190879897e-01 8.520435934865431271e-01 8.503486625771765617e-01 8.501834744025248414e-01 8.501665853112790883e-01
1.484808771932877747e+00 3.957302181063623047e+11 3.016639118895104599e+10 2.092443423306066275e+09 1.215923869835477024e+08 3.260233561237466522e+06 1.216866117952325688e+00 9.185668390510571824e-01 8.953092570403931028e-01 8.930371824666704095e-01 8.928105893054368858e-01 8.927878571939008578e-01
1.645371333138542003e+00 4.525097372269296265e+11 3.481769072669058990e+10 2.453530405272613049e+09 1.473876521925393343e+08 5.018980585555037484e+06 1.447246612080944406e+00 9.665639397169516478e-01 9.350151110254610876e-01 9.318196807819436600e-01 9.315150889204424356e-01 9.314845309896786496e-01
1.823296625861047238e+00 5.169464506212528076e+11 4.012473337122083282e+10 2.869214548920310020e+09 1.774269522261371017e+08 7.100314100023743697e+06 1.934756252230762197e+00 1.015460203293725439e+00 9.716492035752991585e-01 9.674600899978943458e-01 9.670454101360619337e-01 9.670032260081242725e-01
2.020462201401659108e+00 5.900318481725733643e+11 4.617468965267674255e+10 3.347040827266479015e+09 2.123727695251351893e+08 9.528045904733074829e+06 3.663550106297348119e+00 1.069144285213136314e+00 1.007024042451032164e+00 1.001199512635433164e+00 1.000621933573289102e+00 1.000567933608172311e+00
2.238948643567525210e+00 6.728823818231566162e+11 5.306593139577358246e+10 3.895537242517436981e+09 2.529700239053353071e+08 1.234776501594548859e+07 3.321440009743590053e+03 1.133789104032320028e+00 1.042938970592565351e+00 1.034741782284255063e+00 1.033923578849969660e+00 1.033842793986906816e+00
2.481061523969742222e+00 7.667548934092218018e+11 6.090943636361820984e+10 4.524342891710894585e+09 3.000569018754610419e+08 1.562286183530001715e+07 9.125871520875144051e+04 1.218850334991940176e+00 1.081698396482591251e+00 1.070028564031193952e+00 1.068821028491730329e+00 1.068713486793355427e+00
2.749355731498453359e+00 8.730639087574488525e+11 6.983036441238288879e+10 5.244351532960105896e+09 3.545775665523613095e+08 1.943191665055149049e+07 2.836844072900636820e+05 1.340830980868960909e+00 1.125618249003076166e+00 1.108397520268960879e+00 1.106717626156436651e+00 1.106549783051488545e+00
3.046662432711031876e+00 9.934010371276137695e+11 7.996982722534774780e+10 6.067872547668632507e+09 4.175967223365681171e+08 2.386733513602066040e+07 5.587740646660191705e+05 1.526745313955918393e+00 1.177622772347563185e+00 1.152136787317215028e+00 1.149673443651125782e+00 1.149417903235193883e+00
