z = 1.2 z = 1.4 z = 1.6 z = 1.8 z = 2.0
−2.5410 2.7372 −2.5032 2.8128 −2.4684 2.8823 −2.4362 2.9467 −2.4063 3.0066
−2.4910 2.5912 −2.4532 2.6668 −2.4184 2.7363 −2.3862 2.8007 −2.3563 2.8606
−2.4410 2.4102 −2.4032 2.4858 −2.3684 2.5553 −2.3362 2.6197 −2.3063 2.6796
−2.3910 2.1882 −2.3532 2.2638 −2.3184 2.3333 −2.2862 2.3977 −2.2563 2.4576
−2.3410 1.9212 −2.3032 1.9968 −2.2684 2.0663 −2.2362 2.1307 −2.2063 2.1906
−2.2910 1.6032 −2.2532 1.6788 −2.2184 1.7483 −2.1862 1.8127 −2.1563 1.8726
−2.2410 1.2282 −2.2032 1.3038 −2.1684 1.3733 −2.1362 1.4377 −2.1063 1.4976
−2.1910 0.8942 −2.1532 0.9615 −2.1184 1.0215 −2.0862 1.0765 −2.0563 1.1277
−2.1071 0.4363 −2.0693 0.4732 −2.0346 0.5020 −2.0024 0.5253 −1.9722 0.5449
−1.9610 0.3406 −1.9234 0.3432 −1.8884 0.3310 −1.8564 0.3085 −1.8262 0.2765
−1.7934 0.2180 −1.7557 0.1770 −1.7210 0.1248 −1.6887 0.0607 −1.6588 −0.0101
−1.7091 0.0667 −1.6714 0.0022 −1.6366 −0.0682 −1.6045 −0.1385 −1.5745 −0.2066
−1.6045 −0.1226 −1.5667 −0.1886 −1.5319 −0.2548 −1.4998 −0.3188 −1.4697 −0.3806
−1.5173 −0.3989 −1.4795 −0.4578 −1.4448 −0.5186 −1.4125 −0.5822 −1.3826 −0.6505
−1.4381 −0.5950 −1.4003 −0.6552 −1.3655 −0.7196 −1.3334 −0.7844 −1.3034 −0.8508
−1.4082 −0.6411 −1.3704 −0.6938 −1.3356 −0.7486 −1.3034 −0.8022 −1.2734 −0.8542
−1.3412 −0.7916 −1.3034 −0.8468 −1.2687 −0.9020 −1.2364 −0.9582 −1.2065 −1.0175
−1.1651 −1.1519 −1.1273 −1.1756 −1.0925 −1.1974 −1.0604 −1.2007 −1.0304 −1.2146
−1.0401 −1.3461 −1.0024 −1.3801 −0.9678 −1.4397 −0.9355 −1.4734 −0.9055 −1.4750
−0.9431 −1.3512 −0.9055 −1.3205 −0.8706 −1.2847 −0.8386 −1.2890 −0.8085 −1.3492
−0.8642 −1.3601 −0.8262 −1.3685 −0.7916 −1.4405 −0.7595 −1.5277 −0.7293 −1.6434
−0.7392 −1.7245 −0.7014 −1.8256 −0.6666 −1.8941 −0.6343 −1.9473 −0.6045 −1.9759
−0.6423 −1.9743 −0.6045 −2.0022 −0.5698 −1.9991 −0.5375 −1.9931 −0.5075 −1.9927
−0.5173 −2.0707 −0.4795 −2.0853 −0.4448 −2.0808 −0.4125 −2.0746 −0.3826 −2.0848
−0.4661 −2.0603 −0.4283 −2.0697 −0.3936 −2.0648 −0.3614 −2.0586 −0.3314 −2.0729
−0.3891 −1.9598 −0.3513 −1.9629 −0.3166 −1.9573 −0.2844 −1.9511 −0.2545 −1.9703
−0.3265 −1.9303 −0.2887 −1.9249 −0.2539 −1.9301 −0.2217 −1.9431 −0.1918 −1.9741
−0.2173 −1.8858 −0.1796 −1.9066 −0.1448 −1.9378 −0.1126 −1.9751 −0.0826 −2.0270
−0.1289 −1.9105 −0.0911 −1.9476 −0.0563 −1.9831 −0.0242 −2.0182 0.0058 −2.0653
−0.0369 −1.9652 0.0009 −1.9950 0.0357 −2.0279 0.0679 −2.0676 0.0978 −2.1198
0.0259 −2.0171 0.0637 −2.0428 0.0984 −2.0725 0.1306 −2.1095 0.1606 −2.1579
0.0628 −2.0475 0.1006 −2.0708 0.1353 −2.0987 0.1675 −2.1341 0.1975 −2.1803
0.0775 −2.0597 0.1152 −2.0820 0.1500 −2.1092 0.1822 −2.1439 0.2122 −2.1893
0.0959 −2.0749 0.1337 −2.0960 0.1684 −2.1223 0.2006 −2.1562 0.2306 −2.2005
0.1292 −2.1024 0.1670 −2.1214 0.2017 −2.1460 0.2339 −2.1784 0.2639 −2.2207
0.1514 −2.1207 0.1891 −2.1383 0.2239 −2.1618 0.2561 −2.1932 0.2861 −2.2342
0.1773 −2.1421 0.2151 −2.1580 0.2498 −2.1802 0.2820 −2.2105 0.3120 −2.2500
0.1995 −2.1604 0.2372 −2.1749 0.2720 −2.1960 0.3042 −2.2253 0.3342 −2.2635
0.2217 −2.1840 0.2595 −2.1992 0.2942 −2.2221 0.3264 −2.2540 0.3564 −2.2967
0.2551 −2.2231 0.2929 −2.2410 0.3276 −2.2686 0.3598 −2.3071 0.3898 −2.3606
0.2737 −2.2448 0.3115 −2.2643 0.3462 −2.2944 0.3784 −2.3367 0.4084 −2.3962
0.2849 −2.2580 0.3227 −2.2783 0.3574 −2.3100 0.3896 −2.3545 0.4196 −2.4176
0.2963 −2.2713 0.3341 −2.2926 0.3688 −2.3258 0.4010 −2.3726 0.4310 −2.4394
0.3152 −2.2934 0.3529 −2.3162 0.3877 −2.3521 0.4199 −2.4026 0.4499 −2.4756
0.3341 −2.3283 0.3719 −2.3555 0.4066 −2.3939 0.4388 −2.4430 0.4688 −2.5130
0.4330 −2.5581 0.4708 −2.6189 0.5056 −2.6692 0.5378 −2.6935 0.5677 −2.7131
0.4370 −2.5672 0.4748 −2.6295 0.5095 −2.6800 0.5417 −2.7035 0.5717 −2.7212
0.5339 −2.8253 0.5717 −2.8160 0.6064 −2.8078 0.6386 −2.8014 0.6686 −2.7995
0.6966 −2.9057 0.7344 −2.8455 0.7692 −2.7974 0.8013 −2.7638 0.8313 −2.7480
0.8349 −3.0277 0.8727 −2.9888 0.9075 −2.9690 0.9396 −2.9771 0.9696 −3.0217
1.1358 −3.7761 1.1738 −3.6652 1.2084 −3.5770 1.2405 −3.5305 1.2707 −3.5042
